obligation_id,obligation,source_document,clause,recipient,frequency,due_rule_text_verbatim,next_due,status,status_note,evidence_files,approved_by,approval_ref
OB-01,Annual Report to MSRB via EMMA (audited FS + occupancy + DSCR),03-continuing-disclosure-agreement.md,Section 4(a),MSRB (EMMA),annual,"not later than one hundred eighty (180) days after the end of each Fiscal Year, commencing with the Fiscal Year ending December 31, 2025",2027-06-29,filed,last due 2026-06-29,annual-report-FY2025.txt,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-02,Audited financial statements filed when available if not in Annual Report,03-continuing-disclosure-agreement.md,Section 4(b),MSRB (EMMA),conditional,the audited financial statements shall be filed when they become available,,professional determination required,rule text carries a judgment word; counsel / dissemination agent decides when it is triggered,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-03,Notice of failure to file Annual Report,03-continuing-disclosure-agreement.md,Section 4(d),MSRB (EMMA),conditional,"If the Borrower is unable to provide the Annual Report by the date required in Section 4(a), the Borrower shall ... send a notice to the MSRB",,not testable,no calendar date: conditional; no event supplied by client,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-04,Listed Event notices (16 events),03-continuing-disclosure-agreement.md,Section 5(a),MSRB (EMMA),event-driven,in a timely manner not in excess of ten (10) Business Days after the occurrence of the event,,professional determination required,rule text carries a judgment word; counsel / dissemination agent decides when it is triggered,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-05,Notice of change in Fiscal Year,03-continuing-disclosure-agreement.md,Section 4(e),MSRB (EMMA),event-driven,the Borrower shall give notice of such change in the same manner as for a Listed Event,,not testable,no calendar date: event-driven; no event supplied by client,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-06,Quarterly rent roll and occupancy report,02-loan-agreement-excerpt.md,Section 6.8,Issuer; Trustee,quarterly,Within forty-five (45) days after the end of each calendar quarter,2026-11-14,evidence missing,no evidence for 2026-05-15,quarterly-report-2025Q3.txt; quarterly-report-2025Q4.txt; quarterly-report-2026Q2.txt,Ironwood Trust Company (dissemination agent),approval-2026-09-08.md
OB-07,Annual Certificate of No Default,02-loan-agreement-excerpt.md,Section 6.5,Issuer; Trustee,annual,Within one hundred twenty (120) days after the end of each Fiscal Year,2027-04-30,evidence missing,no evidence for 2026-04-30,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-08,Insurance certificates,02-loan-agreement-excerpt.md,Section 6.3,Trustee,annual,On or before each anniversary of the Closing Date,2027-06-26,filed,last due 2026-06-26,insurance-cert-2026.txt,Ironwood Trust Company (dissemination agent),approval-2026-09-08.md
OB-09,Audited financial statements to Trustee,02-loan-agreement-excerpt.md,Section 6.6,Trustee,annual,within one hundred eighty (180) days after the end of such Fiscal Year,2027-06-29,filed,last due 2026-06-29,afs-FY2025.txt,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-10,Debt Service Coverage Ratio calculation delivered with audited FS,02-loan-agreement-excerpt.md,Section 6.9,Trustee,annual,The Borrower shall deliver the calculation of such ratio to the Trustee together with such audited financial statements,2027-06-29,filed,last due 2026-06-29,dscr-calc-FY2025.txt,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-11,Other information on reasonable request,02-loan-agreement-excerpt.md,Section 6.10,Trustee,on request,such other information regarding the Project as the Trustee may reasonably request from time to time,,not testable,no calendar date: on request; no event supplied by client,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-12,Notice of litigation,02-loan-agreement-excerpt.md,Section 6.12,Issuer; Trustee,event-driven,promptly notify ... of any litigation ... that ... could reasonably be expected to have a material adverse effect,,professional determination required,rule text carries a judgment word; counsel / dissemination agent decides when it is triggered,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-13,Certificate of Continuing Program Compliance (IRC 142(d)),04-tax-regulatory-agreement-excerpt.md,Section 4.3,Issuer; Trustee,annual,On or before January 31 of each year,2027-01-31,filed,last due 2026-01-31,ccpc-2026.txt,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-14,Rebate computation delivered to Trustee,04-tax-regulatory-agreement-excerpt.md,Section 5.2,Trustee,every 5th Bond Year,within sixty (60) days after the applicable Computation Date; Computation Date means each fifth anniversary of the Closing Date and the date of final payment,2030-08-25,not filed,not yet due,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-15,Record retention,04-tax-regulatory-agreement-excerpt.md,Section 6.1,Borrower (internal),standing,for the term of the Bonds plus three (3) years after the final payment of the Bonds,,not testable,no calendar date: standing; no event supplied by client,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-16,Notice prior to change in use,04-tax-regulatory-agreement-excerpt.md,Section 6.4,Issuer; Bond Counsel,event-driven,shall notify the Issuer and Bond Counsel prior to any change in use of the Project,,not testable,no calendar date: event-driven; no event supplied by client,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
OB-17,Quarterly compliance report (Low-Income Units),05-regulatory-agreement-excerpt.md,Section 3.5,Issuer,quarterly,Within fifteen (15) days after the end of each calendar quarter,2026-10-15,filed,last due 2026-07-15,lura-quarterly-2025Q3.txt; lura-quarterly-2025Q4.txt; lura-quarterly-2026Q1.txt; lura-quarterly-2026Q2.txt,Ironwood Trust Company (dissemination agent),approval-2026-09-08.md
OB-18,Annual tenant income certifications on file,05-regulatory-agreement-excerpt.md,Section 3.4,Borrower (internal),annual,upon initial occupancy and annually thereafter,,professional determination required,approved list carries no date for a dated frequency,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md
