file,label,bound_to
afs-FY2025.txt,SYNTHETIC EVIDENCE FILE - Audited Financial Statements FY2025,OB-09
annual-report-FY2025.txt,"SYNTHETIC EVIDENCE FILE - Annual Report FY2025 (audited FS, occupancy, DSCR calc attached)",OB-01
ccpc-2026.txt,SYNTHETIC EVIDENCE FILE - Certificate of Continuing Program Compliance 2026 (for CY2025),OB-13
dscr-calc-FY2025.txt,SYNTHETIC EVIDENCE FILE - DSCR calculation FY2025,OB-10
insurance-cert-2026.txt,SYNTHETIC EVIDENCE FILE - Insurance certificates 2026,OB-08
lura-quarterly-2025Q3.txt,SYNTHETIC EVIDENCE FILE - LURA quarterly compliance report Q3 2025,OB-17
lura-quarterly-2025Q4.txt,SYNTHETIC EVIDENCE FILE - LURA quarterly compliance report Q4 2025,OB-17
lura-quarterly-2026Q1.txt,SYNTHETIC EVIDENCE FILE - LURA quarterly compliance report Q1 2026,OB-17
lura-quarterly-2026Q2.txt,SYNTHETIC EVIDENCE FILE - LURA quarterly compliance report Q2 2026,OB-17
quarterly-report-2025Q3.txt,SYNTHETIC EVIDENCE FILE - Quarterly rent roll + occupancy Q3 2025,OB-06
quarterly-report-2025Q4.txt,SYNTHETIC EVIDENCE FILE - Quarterly rent roll + occupancy Q4 2025,OB-06
quarterly-report-2026Q2.txt,SYNTHETIC EVIDENCE FILE - Quarterly rent roll + occupancy Q2 2026,OB-06
