due_date,obligation_id,obligation,recipient,clause,source_document,status,evidence_file,timing
2025-10-15,OB-17,Quarterly compliance report (Low-Income Units),Issuer,Section 3.5,05-regulatory-agreement-excerpt.md,filed,lura-quarterly-2025Q3.txt,past
2025-11-14,OB-06,Quarterly rent roll and occupancy report,Issuer; Trustee,Section 6.8,02-loan-agreement-excerpt.md,filed,quarterly-report-2025Q3.txt,past
2026-01-15,OB-17,Quarterly compliance report (Low-Income Units),Issuer,Section 3.5,05-regulatory-agreement-excerpt.md,filed,lura-quarterly-2025Q4.txt,past
2026-01-31,OB-13,Certificate of Continuing Program Compliance (IRC 142(d)),Issuer; Trustee,Section 4.3,04-tax-regulatory-agreement-excerpt.md,filed,ccpc-2026.txt,past
2026-02-14,OB-06,Quarterly rent roll and occupancy report,Issuer; Trustee,Section 6.8,02-loan-agreement-excerpt.md,filed,quarterly-report-2025Q4.txt,past
2026-04-15,OB-17,Quarterly compliance report (Low-Income Units),Issuer,Section 3.5,05-regulatory-agreement-excerpt.md,filed,lura-quarterly-2026Q1.txt,past
2026-04-30,OB-07,Annual Certificate of No Default,Issuer; Trustee,Section 6.5,02-loan-agreement-excerpt.md,evidence missing,,past
2026-05-15,OB-06,Quarterly rent roll and occupancy report,Issuer; Trustee,Section 6.8,02-loan-agreement-excerpt.md,evidence missing,,past
2026-06-26,OB-08,Insurance certificates,Trustee,Section 6.3,02-loan-agreement-excerpt.md,filed,insurance-cert-2026.txt,past
2026-06-29,OB-01,Annual Report to MSRB via EMMA (audited FS + occupancy + DSCR),MSRB (EMMA),Section 4(a),03-continuing-disclosure-agreement.md,filed,annual-report-FY2025.txt,past
2026-06-29,OB-09,Audited financial statements to Trustee,Trustee,Section 6.6,02-loan-agreement-excerpt.md,filed,afs-FY2025.txt,past
2026-06-29,OB-10,Debt Service Coverage Ratio calculation delivered with audited FS,Trustee,Section 6.9,02-loan-agreement-excerpt.md,filed,dscr-calc-FY2025.txt,past
2026-07-15,OB-17,Quarterly compliance report (Low-Income Units),Issuer,Section 3.5,05-regulatory-agreement-excerpt.md,filed,lura-quarterly-2026Q2.txt,past
2026-08-14,OB-06,Quarterly rent roll and occupancy report,Issuer; Trustee,Section 6.8,02-loan-agreement-excerpt.md,filed,quarterly-report-2026Q2.txt,past
2026-10-15,OB-17,Quarterly compliance report (Low-Income Units),Issuer,Section 3.5,05-regulatory-agreement-excerpt.md,not filed,,future
2026-11-14,OB-06,Quarterly rent roll and occupancy report,Issuer; Trustee,Section 6.8,02-loan-agreement-excerpt.md,not filed,,future
2027-01-15,OB-17,Quarterly compliance report (Low-Income Units),Issuer,Section 3.5,05-regulatory-agreement-excerpt.md,not filed,,future
2027-01-31,OB-13,Certificate of Continuing Program Compliance (IRC 142(d)),Issuer; Trustee,Section 4.3,04-tax-regulatory-agreement-excerpt.md,not filed,,future
2027-02-14,OB-06,Quarterly rent roll and occupancy report,Issuer; Trustee,Section 6.8,02-loan-agreement-excerpt.md,not filed,,future
2027-04-30,OB-07,Annual Certificate of No Default,Issuer; Trustee,Section 6.5,02-loan-agreement-excerpt.md,not filed,,future
2027-06-26,OB-08,Insurance certificates,Trustee,Section 6.3,02-loan-agreement-excerpt.md,not filed,,future
2027-06-29,OB-01,Annual Report to MSRB via EMMA (audited FS + occupancy + DSCR),MSRB (EMMA),Section 4(a),03-continuing-disclosure-agreement.md,not filed,,future
2027-06-29,OB-09,Audited financial statements to Trustee,Trustee,Section 6.6,02-loan-agreement-excerpt.md,not filed,,future
2027-06-29,OB-10,Debt Service Coverage Ratio calculation delivered with audited FS,Trustee,Section 6.9,02-loan-agreement-excerpt.md,not filed,,future
