name,org,role,segment,icp_fit,channel,contact,last_touch,touches,status,source,notes
TBD-principal,Sierra Vista IDA (SVIDA),Executive Director / board chair,warm,high,email,TBD,,0,new,reference-client,Live PRO EO reference engagement. Warmest relationship we have. Ask for (1) the Epiphany-Bridge proof capture and (2) 1-2 operator referrals from their deal flow.
TBD-board,Sierra Vista IDA board,IDA board member,warm,medium,email,TBD,,0,new,reference-client,Board contacts from the IDA cadence work. Soft referral asks.
TBD,Public Finance Authority (WI),Program / conduit issuance lead,cold,high,linkedin,TBD,,0,nurture,emma-crawl,NURTURE ONLY (secondary ICP per config). Highest-volume national conduit issuer (housing + healthcare). Many small/mid operator deals flow through them — top referral target later.
TBD,National Finance Authority (NH),Conduit issuance lead,cold,high,linkedin,TBD,,0,nurture,emma-crawl,NURTURE ONLY. Active affordable-housing conduit (Series 2024-1/2025-1/2026-1). High operator deal flow.
TBD,Florida Development Finance Corporation,Conduit issuance lead,cold,high,email,TBD,,0,nurture,emma-crawl,NURTURE ONLY. Healthcare + industrial-dev conduit (Tampa General project). FL operator pipeline.
TBD,Industrial Development Authority of Mobile County (AL),Executive Director,cold,high,email,TBD,,0,nurture,emma-crawl,NURTURE ONLY. SVIDA-class IDA — solid-waste/industrial deals (AM/NS Calvert). Direct analog to our reference client.
TBD,Industrial Development Authority of Baldwin County (AL),Executive Director,cold,high,email,TBD,,0,nurture,emma-crawl,NURTURE ONLY. SVIDA-class IDA — solid-waste revenue bonds (Novelis project). Same playbook as SVIDA.
TBD,Tarrant County Cultural Education Facilities Finance Corp (TX),Conduit issuance lead,cold,medium,email,TBD,,0,nurture,emma-crawl,NURTURE ONLY. Active hospital-revenue conduit (Baylor Scott & White). TX healthcare deal flow.
TBD,Development Authority of Rockdale County (GA),Authority director,cold,medium,email,TBD,,0,nurture,emma-crawl,NURTURE ONLY. Multifamily housing conduit (Affordable Housing Preservation Corp). GA operator pipeline.
TBD,Maryland Health & Higher Ed Facilities Authority,Issuance / program lead,cold,medium,email,TBD,,0,nurture,emma-crawl,"NURTURE ONLY. State HEFA, steady healthcare deal flow (MedStar). Intermediary relationship."
TBD,Connecticut Health & Educational Facilities Authority,Issuance / program lead,cold,medium,email,TBD,,0,nurture,emma-crawl,NURTURE ONLY. State HEFA (Hartford Healthcare). Referral source.
TBD,Rhode Island Health & Educational Building Corp,Issuance / program lead,cold,medium,email,TBD,,0,nurture,emma-crawl,"NURTURE ONLY. State authority (Brown University Health). Smaller-market issuer, approachable."
