name,org,role,segment,icp_fit,entity_type,has_issued,disclosure_live,channel,contact,last_touch,touches,status,source,notes
Jeff Williams,Suntado LLC,CEO,cold,high,obligated_person,Y,unknown,linkedin,"LinkedIn: Jeff Williams (Suntado CEO, ex-Glanbia USA); HQ Burley ID",2026-06-17,0,active,emma-operator (re-find in public record),"Idaho vertically-integrated dairy-processing plant (Mini-Cassia Commerce Authority bonds), Burley ID, up to 1M lbs milk/day. Founders Dirk Reitsma & Jesus Hurtado (dairy farmers); CEO Jeff Williams (ex-Glanbia USA pres/CEO). Cleared a conduit deal — exactly our profile. ENRICHED 2026-06-17 — sendable via LinkedIn. Ask what stalled them pre-deal / repeat-deal readiness. | 2026-09-10 Clay: Carl Schroeder, COO (since 2025-10) is the ops buyer; CEO stays as opener."
TBD,Tompaul Knoxville LLC,Owner/operator,cold,medium,obligated_person,Y,unknown,linkedin,TBD,2026-06-17,0,new,emma-operator (re-find in public record),TN solid-waste facility via Knox County IDB. Small single-project operator; IDB-routed deal = direct SVIDA analog. Enrichment attempted 2026-06-17 — no named principal found on open web (obscure SPE). Needs EMMA official-statement lookup for sponsor/GP behind the LLC. | 2026-09-10: person name still missing. Find CFO/controller in Clay before any touch.
TBD,Riverview LLP,Owner/operator,cold,medium,obligated_person,Y,unknown,linkedin,"LinkedIn: Riverview, LLP company page (no single principal surfaced)",2026-06-18,0,new,emma-operator (re-find in public record),"Diversified agribusiness, HQ Morris MN (started as Stevens County family farm 1939, now largely employee-owned). SD operations = dairy/beef; the SD bonds are Value Added Finance Authority livestock-nutrient-management (solid-waste-disposal) bonds — Clark Dairy approved Mar 2020 up to $25M. ENRICHMENT 2026-06-18: org confirmed but employee-owned with no single named principal on open web; target a named exec via LinkedIn company-page leadership before sending. Geography note: MN-HQ, not SD. | 2026-09-10: person name still missing. Find CFO/controller in Clay before any touch."
Luke Palen,Spectro Alloys Corporation,President,cold,low,obligated_person,Y,unknown,linkedin,"LinkedIn: Luke Palen (Pres, Spectro Alloys)",2026-06-18,0,active,emma-operator (re-find in public record),"MN aluminum recycler, Rosemount MN (MN Ag & Econ Dev Board solid-waste bonds). President Luke Palen; exec chair Tim Larson; Greg Palen (Luke's father) shareholder/board. ENRICHED 2026-06-18 — sendable via LinkedIn. CAVEAT: Emirates Global Aluminum (EGA) acquired 80% majority stake (Star Tribune); Palen family retains ~20%. Deep-pocketed foreign parent = LOWER readiness-pitch fit (well-capitalized, less need for our gap-closing); downgraded icp_fit high→low. Keep as awareness/content reference more than active pitch."
Ryan Edwards,LDG Development (parent of LDG Redwood LP),President,cold,high,obligated_person,Y,unknown,linkedin,ldgdevelopment.com/about/team; LinkedIn: Ryan Edwards (Pres) / Chris Dischinger (co-founder),2026-06-17,0,active,emma-operator (re-find in public record),"Nation's largest affordable-housing developer — 17,000+ units across 7 states, HQ Louisville KY (offices Austin/Nashville/Atlanta). Founders Chris Dischinger & Mark Lechner; President Ryan Edwards. Redwood Apartments multifamily bonds (Series 2020 & 2024 = repeat issuer). Highest-value operator relationship; angle = first-vs-second-deal readiness. ENRICHED 2026-06-17 — sendable via LinkedIn. | 2026-09-10 Clay: Nick Chitwood, EVP (since 2015) is the likely register owner; CEO stays as opener."
TBD,JLG (JLG NM ABQ 2023 LLLP),Developer principal,cold,medium,obligated_person,Y,unknown,linkedin,TBD,2026-06-17,0,new,emma-operator (re-find in public record),NM Mortgage Finance Authority multifamily (Mountain View II). Active affordable-housing developer; target parent JLG. Enrichment attempted 2026-06-17 — 'JLG' ambiguous on open web (architecture firm / JL Gray Co are NOT it). Needs EMMA/MFA official-statement lookup for the actual developer-of-record behind the LLLP. | 2026-09-10: person name still missing. Find CFO/controller in Clay before any touch.
TBD,Foothill (Willow Lakes LLC),Developer principal,cold,medium,obligated_person,Y,unknown,email,TBD,,0,new,emma-operator (re-find in public record),TX Port Arthur Housing Authority residential development bonds (Willow Lakes). Mid-market housing operator. | 2026-09-10: person name still missing. Find CFO/controller in Clay before any touch.
TBD,841 Cowan Road LP,Developer principal,cold,medium,obligated_person,Y,unknown,email,TBD,2026-06-18,0,new,emma-operator (re-find in public record),"TN affordable multifamily — CORRECTED 2026-06-18: ~228 units in DICKSON TN (not Nashville), $48M bonds via TN Health & Educational Facilities Board, dated Dec 1 2025, Freddie Mac permanent takeout. Borrower = 841 Cowan, LP. Enrichment attempted — no named GP/sponsor on open web; pull developer-of-record from the Nov 2025 HEFB packet / EMMA official statement. | 2026-09-10: person name still missing. Find CFO/controller in Clay before any touch."
TBD,Horizons Owner LLC,Developer principal,cold,medium,obligated_person,Y,unknown,email,TBD,,0,new,emma-operator (re-find in public record),"FL multifamily (5300-5360 Summerlin, Series 2026 — recent). Find sponsor; FL operator pipeline fits geography expansion. | 2026-09-10: person name still missing. Find CFO/controller in Clay before any touch."
TBD,National Church Residences,CFO / controller / asset manager (find in Clay by title),cold,high,obligated_person,Y,unknown,email,"Jill Bowers, Senior Asset Manager (asset mgmt owns the calendar); Susan DiMickele, President & CEO",,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Memorial Towers (Dec-2024). Sector: housing_affordable. Entity: nonprofit_501c3. Source: https://phoenixida.com/wp-content/uploads/2024/10/Phx-IDA-Memorial-Towers-2024-TEFRA-Notice.pdf.
TBD,Goodwill of Central and Northern Arizona,CFO / controller / asset manager (find in Clay by title),cold,high,obligated_person,Y,unknown,email,domain: goodwillaz.org,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),"Deals: GW-SLB II, LLC (Goodwill Retail Store) (May-2024); AGES-SLB, LLC (Goodwill Excel Center) (May-2024); Goodwill of Central and Northern Arizona (Oct-2019). Sector: other. Entity: nonprofit_501c3. Source: https://phoenixida.com/2024/06/24/phoenix-ida-and-pcdic-update-june-2024/."
TBD,Pacificap,CFO / controller / asset manager (find in Clay by title),cold,medium,obligated_person,Y,unknown,email,domain: pacificap.com,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Residences at Falcon Park (Oct-2023). Sector: housing_affordable. Entity: private_for_profit. Source: https://phoenixida.com/2023/09/22/residences-at-falcon-park-project-2023-tefra-notice-summary/.
TBD,UMOM New Day Centers,CFO / controller / asset manager (find in Clay by title),cold,medium,obligated_person,Y,unknown,email,domain: umom.org,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: La Esperanza Terrace (formerly Bret Tarver Terrace) (Aug-2023). Sector: housing_affordable. Entity: nonprofit_501c3. Source: https://phoenixida.com/2023/06/14/bret-tarver-terrace-project-2023-tefra-notice-summary/.
TBD,Chicanos Por La Causa,CFO / controller / asset manager (find in Clay by title),cold,high,obligated_person,Y,unknown,email,domain: cplc.org,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Pueblo Apartments (Jul-2023); Chicanos Por La Causa (CPLC) Phoenix Memorial Redevelopment Project (Sep-2021). Sector: housing_affordable. Entity: nonprofit_501c3. Source: https://phoenixida.com/2023/01/19/pueblo-apartments-project-2023-tefra-hearing-summary/.
TBD,"Rebuild America, Inc.",CFO / controller / asset manager (find in Clay by title),cold,low,unclear,Y,unknown,email,domain: rebuildamericainc.com,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Broadway Terrace Apartments (Jul-2017). Sector: housing_affordable. Entity: unknown. Source: https://www.rebuildamericainc.com/properties-1/broadway-terrace.
TBD,"Reliant Group Management, LLC",CFO / controller / asset manager (find in Clay by title),cold,medium,obligated_person,Y,unknown,email,"Sanj Kakar, Chief Acquisitions Officer (not the buyer; find controller)",,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: La Palmilla Apartments (Jun-2017). Sector: housing_affordable. Entity: private_for_profit. Source: https://rainbowhousing.org/rainbow-housing-blog/reliant-group-management-llc-selects-rainbow-housing-service-provider-affordable-community-arizona.
TBD,Solterra Senior Living,CFO / controller / asset manager (find in Clay by title),cold,low,obligated_person,Y,unknown,email,domain: solterraseniorliving.com,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: 3rd and Indian School Assisted Living Project (Oct-2016); Deer Valley Veterans Assisted Living Project (Aug-2016). Sector: housing_senior_assisted. Entity: private_for_profit. Source: https://phoenixida.com/2017/06/01/solterra-senior-living-to-build-three-low-income-assisted-living-projects-totaling-66m/. CAUTION: unverified 2025 reviews allege payroll/vendor trouble; verify before any touch
TBD,Girl Scouts-Arizona Cactus-Pine Council,CFO / controller / asset manager (find in Clay by title),cold,low,obligated_person,Y,unknown,email,domain: girlscoutsaz.org,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Girl Scouts-Arizona Cactus-Pine Council (Mar-2015). Sector: other. Entity: nonprofit_501c3. Source: https://hmapr.com/client-news/girl-scouts-arizona-cactus-pine-council-opens-bob-renee-parsons-leadership-center-girls-women-camp-south-mountain/.
TBD,"Family Housing Resources, Inc.",CFO / controller / asset manager (find in Clay by title),cold,low,obligated_person,Y,unknown,email,domain: fhrtucson.org,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Veterans Assisted Living Yuma (Nov-2014). Sector: housing_senior_assisted. Entity: nonprofit_501c3. Source: https://phoenixida.com/2015/11/03/new-151-unit-yuma-veterans-facility/.
TBD,The Hampstead Group / The Hampstead Companies,CFO / controller / asset manager (find in Clay by title),cold,low,obligated_person,Y,unknown,email,domain: hampstead.com,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Paradise Shadows Apartments (Jul-2013). Sector: housing_affordable. Entity: private_for_profit. Source: https://www.taxcreditcoalition.org/gallery/paradise-shadows/. OLD DEALS (<=2013): verify bonds still outstanding before any touch.
TBD,Dunn-Edwards Corporation,CFO / controller / asset manager (find in Clay by title),cold,low,obligated_person,Y,unknown,email,domain: dunnedwards.com,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: Dunn-Edwards Corporation (Mar-2010). Sector: industrial. Entity: private_for_profit. Source: https://phoenixida.com/2011/06/13/phoenix-ida-helps-fund-worlds-first-leed-certified-paint-manufactuing-facility/. OLD DEALS (<=2013): verify bonds still outstanding before any touch.
TBD,"W. L. Gore & Associates, Inc.",CFO / controller / asset manager (find in Clay by title),cold,low,obligated_person,Y,unknown,email,domain: gore.com,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: W.L. Gore & Associates (Jan-2010). Sector: industrial. Entity: private_for_profit. Source: https://www.flinn.org/gores-100m-north-phoenix-medical-campus-to-be-completed-in-winter-2011/. OLD DEALS (<=2013): verify bonds still outstanding before any touch.
TBD,ACCEL,CFO / controller / asset manager (find in Clay by title),cold,low,obligated_person,Y,unknown,email,domain: accel.org,,0,new,Phoenix IDA published transaction list + public sponsor research 2026-09-10 (no EMMA),Deals: ACCEL (Mar-2009). Sector: other. Entity: nonprofit_501c3. Source: https://www.guidestar.org/profile/95-3497070. OLD DEALS (<=2013): verify bonds still outstanding before any touch.
